gen	alelo	EE05	EE09	EE23	EE43	EE45	EE47	EE48	EE52
GUA.01	1	100	89	98	100	98	238	206	222
GUA.01	2	108	89	102	102	100	250	216	232
AL.01	1	92	NA	112	100	96	240	212	234
AL.01	2	94	NA	116	104	98	242	226	236
AL.02	1	NA	91	91	100	98	240	232	224
AL.02	2	NA	91	91	104	100	242	234	246
AL.03	1	104	NA	98	102	96	246	204	236
AL.03	2	114	NA	116	104	98	248	218	256
AL.04	1	116	95	108	102	96	242	218	226
AL.04	2	120	95	110	104	100	252	226	232
AL.05	1	102	89	102	102	98	240	216	220
AL.05	2	116	89	114	104	112	244	224	246
IBI.01	1	110	95	98	104	96	236	204	230
IBI.01	2	112	95	108	106	104	248	222	234
AL.07	1	88	93	96	98	98	230	220	226
AL.07	2	120	93	98	102	100	240	224	228
AL.08	1	100	91	108	102	98	232	204	218
AL.08	2	100	91	110	104	100	240	204	222
DRP.02	1	100	89	102	100	98	248	220	216
DRP.02	2	102	89	114	102	100	248	234	230
DRP.03	1	88	89	98	100	108	232	NA	226
DRP.03	2	88	89	102	102	112	232	NA	228
DRP.04	1	102	89	100	102	98	236	218	216
DRP.04	2	104	93	108	104	100	240	226	230
GUA.03	1	96	87	102	NA	96	242	206	NA
GUA.03	2	106	93	102	NA	98	250	216	NA
GUA.04	1	116	89	94	98	98	230	216	222
GUA.04	2	118	91	106	102	100	232	226	224
GUA.06	1	100	87	98	102	96	230	218	222
GUA.06	2	106	87	104	102	110	250	226	244
GUA.07	1	114	91	98	98	98	236	216	216
GUA.07	2	120	91	108	100	100	248	218	224
GUA.08	1	112	93	106	100	96	238	226	224
GUA.08	2	116	93	110	104	98	248	228	236
GUA.09	1	112	95	100	102	98	246	222	226
GUA.09	2	116	95	112	104	100	250	232	240
AL.09	1	120	91	102	98	98	230	218	218
AL.09	2	120	91	120	104	108	240	224	220
IBI.05	1	100	89	98	104	90	250	204	226
IBI.05	2	102	91	114	104	114	252	218	228
IBI.06	1	112	NA	114	104	98	244	214	220
IBI.06	2	114	NA	116	104	100	250	218	230
IBI.07	1	106	89	100	100	112	232	216	224
IBI.07	2	108	91	102	102	114	246	226	230
IBI.08	1	104	89	102	100	112	238	218	224
IBI.08	2	118	91	104	100	118	240	228	230
AL.10	1	104	96	96	102	98	238	218	NA
AL.10	2	118	96	102	102	110	246	226	NA
AL.11	1	108	89	104	NA	98	236	218	228
AL.11	2	138	104	104	NA	100	240	220	230
IBI.09	1	98	89	108	100	98	242	216	222
IBI.09	2	104	108	114	102	100	244	228	230
IBI.11	1	102	102	102	100	102	240	218	216
IBI.11	2	114	102	106	100	114	258	220	216
IBI.12	1	102	87	100	100	98	234	216	218
IBI.12	2	114	89	104	100	100	250	220	246
IBI.13	1	112	89	98	100	90	224	224	228
IBI.13	2	118	89	102	104	100	226	226	244
IBI.14	1	110	NA	98	NA	98	242	204	224
IBI.14	2	112	NA	102	NA	104	244	226	244
PA.01	1	118	87	98	98	102	232	204	222
PA.01	2	124	89	100	98	104	242	232	234
PA.02	1	98	91	98	NA	96	214	216	NA
PA.02	2	112	91	104	NA	98	246	226	NA
PA.03	1	96	89	98	100	98	212	218	218
PA.03	2	98	89	102	100	98	250	230	220
PA.04	1	108	89	102	104	98	232	226	216
PA.04	2	118	89	108	104	110	236	232	238
PA.05	1	102	91	100	100	96	232	218	228
PA.05	2	112	95	106	102	98	252	236	234
RNS.01	1	116	95	100	100	98	238	220	218
RNS.01	2	118	95	104	102	100	256	222	222
RNS.02	1	100	95	100	100	96	250	226	228
RNS.02	2	102	95	104	102	116	256	230	242
RNS.03	1	112	89	100	98	90	248	216	230
RNS.03	2	118	95	102	100	98	256	218	232
RNS.04	1	118	91	102	92	100	250	220	NA
RNS.04	2	120	91	114	124	100	252	238	NA
RNS.05	1	102	89	98	NA	96	238	220	232
RNS.05	2	118	95	116	NA	98	250	242	244
RNS.06	1	98	89	98	100	102	240	218	226
RNS.06	2	114	95	102	100	106	244	226	240
RNS.647	1	100	95	NA	102	98	236	206	220
RNS.647	2	102	95	NA	104	100	238	216	222
RNS.07	1	100	87	98	100	102	252	216	236
RNS.07	2	110	89	100	102	108	254	216	228
RNS.08	1	98	91	98	100	100	240	214	224
RNS.08	2	102	95	102	104	100	254	218	230
RNS.09	1	94	NA	98	102	102	236	218	220
RNS.09	2	108	NA	110	104	104	242	228	222
RNS.939	1	100	NA	NA	100	102	254	206	232
RNS.939	2	114	NA	NA	100	114	256	220	234
